Số thứ tự,Tên đơn vị hành chính,Tỉnh/Thành phố,Chú thích,Dân số (người),Diện tích (km²),Mật độ dân số (người/km²),Số ĐVHC cấp xã
88,Cẩm Xuyên,Hà Tĩnh,,149313,636.4,235,23
89,Cần Đước,Long An,,187359,220.5,850,17
90,Cần Giờ,TP Hồ Chí Minh,,71526,704.2,102,7
91,Cần Giuộc,Long An,,214914,215.1,999,15
92,Can Lộc,Hà Tĩnh,,129098,302.1,427,18
93,Càng Long,Trà Vinh,,147694,293.9,503,14
94,Cao Bằng,Cao Bằng,thành phố,73549,107.1,687,11
95,Cao Lãnh,Đồng Tháp,thành phố,164835,107.3,1536,15
96,Cao Lãnh,Đồng Tháp,,197614,491.1,402,18
97,Cao Lộc,Lạng Sơn,,79873,619.1,129,22
98,Cao Phong,Hòa Bình,,4547,255.2,178,10
99,Cát Hải,Hải Phòng,huyện đảo,3209,325.6,99,12
100,Cát Tiên,Lâm Đồng,,35283,426.9,83,9
101,Cầu Giấy,Hà Nội,quận,292536,12.4,23516,8
102,Cầu Kè,Trà Vinh,,102767,246.6,417,11
103,Cầu Ngang,Trà Vinh,,121254,328.4,369,15
104,Châu Đốc,An Giang,thành phố,101765,105.2,967,7
105,Châu Đức,Bà Rịa – Vũng Tàu,,143859,424.6,339,16
106,Châu Phú,An Giang,,206676,450.7,459,13
107,Châu Thành,An Giang,,151368,354.8,427,13
108,Châu Thành,Bến Tre,,175893,224.9,782,21
109,Châu Thành,Đồng Tháp,,146812,246.2,596,12
110,Châu Thành,Hậu Giang,,88079,139.1,633,8
111,Châu Thành,Kiên Giang,,159607,285.4,559,10
112,Châu Thành,Long An,,109812,155.2,708,13
113,Châu Thành,Sóc Trăng,,95188,236.3,403,8
114,Châu Thành,Tây Ninh,,140769,580.9,242,15
115,Châu Thành,Tiền Giang,,263426,232.6,1133,23
116,Châu Thành,Trà Vinh,,14404,343.1,420,14
117,Châu Thành A,Hậu Giang,,97606,153.4,636,10
118,Chi Lăng,Lạng Sơn,,75063,704.2,107,20
119,Chí Linh,Hải Dương,thành phố,220421,282.9,779,19
120,Chiêm Hóa,Tuyên Quang,,134091,1146.2,117,24
121,Chợ Đồn,Bắc Kạn,,49554,911.2,54,20
122,Chợ Gạo,Tiền Giang,,187711,230.9,813,19
123,Chợ Lách,Bến Tre,,111418,169.1,659,11
124,Chợ Mới,An Giang,,307981,369.1,834,18
125,Chợ Mới,Bắc Kạn,,38958,606.5,64,14
126,Chơn Thành,Bình Phước,thị xã,91026,389.6,234,9
127,Chư Păh,Gia Lai,,77299,974.6,79,14
128,Chư Prông,Gia Lai,,123555,1693.9,73,20
129,Chư Pưh,Gia Lai,,77511,718.9,108,9
130,Chư Sê,Gia Lai,,121965,641,190,15
131,Chương Mỹ,Hà Nội,,337326,237.4,1421,32
132,Cờ Đỏ,Cần Thơ,,116576,319.8,365,10
133,Cô Tô,Quảng Ninh,huyện đảo,6285,50.1,125,3
134,Cồn Cỏ,Quảng Trị,huyện đảo,346,2.3,150,0
135,Con Cuông,Nghệ An,,75168,1738.3,43,13
136,Côn Đảo,Bà Rịa – Vũng Tàu,huyện đảo,8827,75.4,117,0
137,Củ Chi,TP Hồ Chí Minh,,462047,434.5,1063,21
138,Cư Jút,Đắk Nông,,92464,723.3,128,8
139,Cư Kuin,Đắk Lắk,,101247,288.3,351,8
140,Cù Lao Dung,Sóc Trăng,,58304,264.8,220,8
141,Cư M'gar,Đắk Lắk,,177622,824.4,215,17
142,Cửa Lò,Nghệ An,thị xã,55668,27.8,2002,7
143,Đà Bắc,Hòa Bình,,55002,778,71,17
144,Đạ Huoai,Lâm Đồng,,33998,495.6,69,9
145,Đakrông,Quảng Trị,,43208,1224.5,35,13
146,Đà Lạt,Lâm Đồng,thành phố,226578,394.5,574,16
147,Đạ Tẻh,Lâm Đồng,,43415,527,82,9
148,Đại Lộc,Quảng Nam,,141851,578.5,245,18
149,Đại Từ,Thái Nguyên,,171703,573.4,299,30
150,Đak Đoa,Gia Lai,,123282,985.3,125,17
151,Đăk Glei,Kon Tum,,48761,1493.7,33,12
152,Đắk Glong,Đắk Nông,,67782,1447.8,47,7
153,Đăk Hà,Kon Tum,,74805,845,89,11
154,Đắk Mil,Đắk Nông,,100702,679,148,10
155,Đak Pơ,Gia Lai,,40442,502.5,80,8
156,Đắk R'lấp,Đắk Nông,,83555,635.7,131,11
157,Đắk Song,Đắk Nông,,80514,806.5,100,9
158,Đăk Tô,Kon Tum,,47544,508.7,93,9
159,Đầm Dơi,Cà Mau,,175629,810,217,16
160,Đầm Hà,Quảng Ninh,,41217,326.9,126,9
161,Đam Rông,Lâm Đồng,,54217,872.1,62,8
162,Đan Phượng,Hà Nội,,174501,78,2237,16
163,Đất Đỏ,Bà Rịa – Vũng Tàu,,7353,188.9,389,8
